Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount
129588.0,1.940458746,-0.856195244,-1.350665853,-0.769439746,1.428500337,4.02157252,-1.521768775,1.136225337,1.220112395,-0.007624523,-0.101834868,0.38929667,0.089458678,-0.13657443,1.181270967,0.588168997,-0.722829364,-0.102557957,-0.439729494,-0.07494478,0.038396546,0.128855928,0.349833741,0.730630786,-0.563443765,0.50099518,0.005507552,-0.042417795,19.5
116572.0,-0.060301854,1.065093223,-0.987420659,-0.029566926,0.176375675,-1.348538738,0.775644269,0.134843223,-0.149734361,-1.23859783,-0.841133376,-0.586472389,-0.77961956,-0.436671255,0.74787087,0.266437283,0.70323412,0.916719418,-0.189966701,-0.169705934,0.355575901,0.907569765,-0.018454445,-0.126269473,-0.339922557,-0.150285487,-0.023633977,0.042329732,57.0
78271.0,0.323701941,-2.452207636,-0.884308758,-0.010207331,0.575348266,4.367674798,-0.837351874,0.954459113,-0.235813522,0.36625345,-0.937473862,0.139321898,0.251633919,-0.356892002,-0.318067142,-1.31372511,-0.255752303,1.585240348,-0.53011266,0.612043046,-0.283215777,-1.390109275,-0.389623761,0.981680033,0.298997144,-0.494221095,0.004236497,0.123386794,521.99
68207.0,-13.19267096,12.78597064,-9.906650021,3.320336883,-4.801175932,5.760058556,-18.75088916,-37.35344264,-0.391539744,-5.052502367,4.406805524,-4.610756477,-1.90948797,-9.072710934,-0.226074451,-6.211557482,-6.248145353,-3.149246695,0.051576119,-3.493049915,27.20283916,-8.887017141,5.303606904,-0.639434802,0.263203123,-0.10887693,1.269566355,0.939407363,1.0
46925.0,-0.481531151,1.059542277,0.647117403,0.905586234,0.81936824,-0.091183566,0.504134851,0.161064336,-0.765053777,-0.550545348,1.48028602,-0.105359123,-0.804841455,-0.819901849,0.916881766,0.201150539,0.874890632,0.941476679,0.272698476,-0.042515133,0.070632869,0.192490772,-0.174659253,-0.438908073,0.239258997,-0.217823405,-0.072852248,0.010463313,1.0
141320.0,-6.352336911,-2.37033515,-4.875396679,2.335044531,-0.809554897,-0.413647316,-4.082308171,2.239089473,-1.986359505,-5.165330818,2.942939165,-4.125722242,-0.433094395,-3.51813117,0.420777387,-5.104479839,-7.925388998,-3.415706715,0.718332374,0.186898305,1.3252184,1.226744876,-1.485216862,-1.47073226,-0.240053393,0.112972037,0.910590644,-0.650943713,195.66
154657.0,-0.679520574,4.672552752,-6.81479844,7.14350012,0.928653839,-1.873013153,-2.306689021,0.993701928,-4.944054156,-5.576418796,5.783654439,-6.117703911,0.614164841,-12.45149866,0.427152478,-2.255853807,-2.128026554,0.706765029,1.093825798,0.872005531,0.566848532,-0.321691498,-0.281324568,-1.120256038,-0.073394345,0.55353043,0.760541928,0.386741821,0.77
119036.0,1.954820282,-0.185916923,-1.845978305,0.310642046,0.421885055,-0.809946525,0.481854585,-0.324320868,0.277831104,0.109261801,0.617641847,1.146383024,0.213770712,0.614877733,-0.737581006,-0.524248158,-0.511839868,0.185419235,0.335914194,-0.118964271,0.353623588,1.160763322,-0.230754061,-0.312424381,0.561260788,0.05168579,-0.044998619,-0.074648031,56.89
7610.0,0.72564574,2.300894438,-5.329976183,4.007682805,-1.73041059,-1.732192568,-3.968592618,1.063728153,-0.486096552,-4.624984954,5.588723915,-7.148242636,1.680450741,-6.210257747,0.495282118,-3.599540209,-4.830324242,-0.64909012,2.250123249,0.504646226,0.589669127,0.109541319,0.601045277,-0.364700278,-1.843077692,0.351909298,0.594549978,0.099372236,1.0
28692.0,-29.20032859,16.15570143,-30.01371249,6.47673118,-21.22580965,-4.902997397,-19.79124841,19.16832739,-3.617241786,-7.870121943,4.066255073,-5.661492423,1.292950145,-5.079845681,-0.12652274,-5.24447152,-11.27497259,-4.678436529,0.650807371,1.715861824,1.809370933,-2.175815203,-1.365104108,0.17428636,2.103868072,-0.209943999,1.278680971,0.372392714,99.99
125612.0,1.889617914,1.073098534,-1.678017522,4.173268194,1.015515806,-0.009389035,-0.079705604,0.064070822,-0.714516676,0.04222752,-0.408402781,-0.929370066,0.058686317,-3.512845461,-0.164612974,2.069853025,1.733381581,1.580757962,-2.335185376,-0.153570265,0.203727978,0.733795721,-0.036559749,0.334305771,0.147171036,0.279556488,0.031668781,0.035883323,3.22
29531.0,-1.060676284,2.60857947,-2.971679003,4.360089352,3.738853043,-2.728395073,1.987616355,-0.357344707,-2.757534513,-2.335933327,2.111516867,-2.59194965,-1.950589355,-7.311579817,0.077752766,2.290607832,6.50927165,2.569971426,-3.286150082,-0.089061537,-0.063167877,-0.207385284,-0.183260817,-0.103679373,0.896178353,0.407386872,-0.130918311,0.192177382,0.68
66406.0,1.283480812,1.353022644,-1.776374415,1.521758237,1.158814076,-1.525205067,0.826378185,-0.40562047,-0.547825584,-1.575757203,0.527918044,-0.170487347,0.84161376,-3.585976062,1.009456402,1.139082856,2.475312932,1.386221573,-0.656027511,0.036770935,-0.232948297,-0.523908758,-0.280757006,-0.415167292,0.954291116,-0.266291521,0.045146844,0.093826479,1.0
93860.0,-10.63237491,7.251936229,-17.68107182,8.204144406,-10.16659075,-4.51034377,-12.98160616,6.783588798,-4.659329584,-14.92465477,8.389142335,-16.46550394,0.33851696,-14.2244036,0.556584473,-11.68399804,-15.84161598,-5.753199753,3.813040793,-0.810146482,2.715357044,0.69560269,-1.138122067,0.459442242,0.386337323,0.522438449,-1.416603737,-0.488307036,188.52
130252.0,2.255415266,-1.492639249,-2.897137702,-2.687466452,1.526366061,3.032160578,-1.125134329,0.622149264,-1.910736536,1.669267138,0.025443513,-0.805232785,0.302401051,0.208644108,0.504050722,-0.722782727,0.37396527,-0.549217118,-0.231157616,-0.289857797,-0.290489941,-0.621101139,0.302454351,0.65927062,-0.152725457,-0.296288379,-0.009959691,-0.057181016,52.0
